0.000000000000000000e+00,7.346199999999999619e+00,2.021999999999999886e+01,8.998999999999999488e+01
1.000000000000000000e+00,8.257999999999999119e+00,2.014799999999999969e+01,8.998399999999999466e+01
2.000000000000000000e+00,9.281200000000000117e+00,2.008999999999999986e+01,9.000400000000000489e+01
3.000000000000000000e+00,1.043200000000000038e+01,2.005000000000000071e+01,8.996699999999999875e+01
4.000000000000000000e+00,1.171199999999999974e+01,2.004200000000000159e+01,8.997599999999999909e+01
5.000000000000000000e+00,1.315000000000000036e+01,2.003800000000000026e+01,8.999800000000000466e+01
6.000000000000000000e+00,1.476500000000000057e+01,2.003600000000000136e+01,8.996099999999999852e+01
7.000000000000000000e+00,1.657100000000000151e+01,2.003600000000000136e+01,9.000700000000000500e+01
8.000000000000000000e+00,1.861799999999999855e+01,2.003399999999999892e+01,8.996699999999999875e+01
9.000000000000000000e+00,2.090399999999999991e+01,2.003200000000000003e+01,8.999200000000000443e+01
1.000000000000000000e+01,2.355600000000000094e+01,2.003099999999999881e+01,8.997700000000000387e+01
1.100000000000000000e+01,2.643599999999999994e+01,2.002899999999999991e+01,8.996599999999999397e+01
1.200000000000000000e+01,2.968299999999999983e+01,2.002700000000000102e+01,8.998000000000000398e+01
1.300000000000000000e+01,3.342300000000000182e+01,2.002599999999999980e+01,8.997499999999999432e+01
1.400000000000000000e+01,3.753199999999999648e+01,2.002499999999999858e+01,8.999099999999999966e+01
1.500000000000000000e+01,4.213799999999999812e+01,2.002299999999999969e+01,8.998600000000000421e+01
1.600000000000000000e+01,4.728499999999999659e+01,2.002299999999999969e+01,8.998600000000000421e+01
1.700000000000000000e+01,5.307200000000000273e+01,2.002199999999999847e+01,8.997199999999999420e+01
1.800000000000000000e+01,5.956400000000000006e+01,2.002400000000000091e+01,8.996599999999999397e+01
1.900000000000000000e+01,6.685500000000000398e+01,2.002299999999999969e+01,8.996999999999999886e+01
2.000000000000000000e+01,7.504000000000000625e+01,2.002400000000000091e+01,8.996399999999999864e+01
2.100000000000000000e+01,8.423300000000000409e+01,2.002499999999999858e+01,8.998499999999999943e+01
2.200000000000000000e+01,9.451399999999999579e+01,2.002499999999999858e+01,8.998099999999999454e+01
2.300000000000000000e+01,1.060699999999999932e+02,2.002400000000000091e+01,8.997899999999999920e+01
2.400000000000000000e+01,1.190199999999999960e+02,2.002499999999999858e+01,8.998499999999999943e+01
2.500000000000000000e+01,1.335600000000000023e+02,2.002599999999999980e+01,8.998699999999999477e+01
2.600000000000000000e+01,1.498700000000000045e+02,2.002599999999999980e+01,8.996200000000000330e+01
2.700000000000000000e+01,1.681699999999999875e+02,2.002799999999999869e+01,8.996399999999999864e+01
2.800000000000000000e+01,1.886999999999999886e+02,2.002899999999999991e+01,8.997599999999999909e+01
2.900000000000000000e+01,2.117400000000000091e+02,2.002499999999999858e+01,8.997499999999999432e+01
3.000000000000000000e+01,2.375900000000000034e+02,2.002499999999999858e+01,8.997299999999999898e+01
3.100000000000000000e+01,2.666000000000000227e+02,2.002499999999999858e+01,8.996699999999999875e+01
3.200000000000000000e+01,2.991299999999999955e+02,2.002599999999999980e+01,8.998199999999999932e+01
3.300000000000000000e+01,3.356299999999999955e+02,2.002599999999999980e+01,8.996299999999999386e+01
3.400000000000000000e+01,3.766000000000000227e+02,2.002799999999999869e+01,8.996800000000000352e+01
3.500000000000000000e+01,4.225799999999999841e+02,2.002799999999999869e+01,8.996500000000000341e+01
3.600000000000000000e+01,4.741600000000000250e+02,2.001999999999999957e+01,8.998099999999999454e+01
